Year,Title,Director,Cast,Genre
1920,Balika Badhu a.k.a. Baby Bride,P. T. Shaida (Tulsidutt Shaida),"shaida,pandit,ali,miss,tarak,bagcha,tulsidutt",social
1920,Daksha Yagna a.k.a. Sati Parvati,Vishnupant Divekar,"prabha,khalil,vaidya",mythology
1920,Jalandhar Vrinda a.k.a. Sati Tulsi Vrinda,G. V. Sane,unknown,mythology
1920,Kansa Vadha a.k.a. End Of The Tyrant King,G. V. Sane,unknown,mythology
1920,Katorabhar Khoon a.k.a.The Stinger Stung a.k.a. Zaheri Saanp,S. N. Patankar,"koregaonkar,gokhale,vyas,trymbakrao,pradhan,tara,k,baba,g",social
1920,Krishna Sudama a.k.a. Shri Krishna Sudama,Vishnupant Divekar,"sakina,ali,moti,prabha,khalil,kesarbai,miya,vaidya",mythology
1920,Lava Kusha,R. Nataraja Mudaliar,unknown,mythology
1920,Mahabharata,Rustomji Dhotiwala,unknown,unknown
1920,Mrichhakatik,Suchet Singh,"kanjibhai,rathod",unknown
1920,Narasinha Avtar,Shree Nath Patankar,unknown,mythology
1920,Narsinh Mehta,"Suchet Singh, Shukle","kanjibhai,rathod",devotional
1920,Ram Janma,G. V. Sane,unknown,mythology
1920,Rama Or Maya,"Suchet Singh, Shukle","dorothy,goharjaan,rathod,samson,kanjbhai,kingdon",mythology
1920,Sairandhri,Baburao Painter,"ganpatrao,balasabeb,dhaiber,yadav,baburao,pawar,keshavrao,ansuyabai,bhaskar,bakre,ravi,gulabbai,pendharkar,kamaladevi,zunzharrao",mythology
1920,Shakuntala,Suchet Singh,"dorothy,sutria,mr,goharjaan,samson,kingdon",mythology
1920,Shakuntala,Shree Nath Patankar,unknown,"mythology,drama"
1920,Shri Krishna Leela,G. V. Sane,unknown,mythology
1920,Shri Rama Janma,G. V. Sane,unknown,mythology
1920,Sita Swayamwar a.k.a. Sita's Marriage,Shree Nath Patankar,limaye,mythology
1920,The Enchanted Pills a.k.a. Vichitra Gutika,S. N. Patankar,"damuanna,dighe,marathe,joshi,gokhale,trymbakrao,pradhan,k,sitarampant,g",social
1920,Vikram Urvashi,Kanjibhai Rathod,"n,lina,r,vaidya,valentine",mythology
1921,Behula,C. Legrand,"cooper,patience",mythology
1921,Belgian Emperor's Visit To India,Nitin Bose,unknown,documentary
1921,Bhakta Vidur,Kanjibhai Rathod,"master,sakina,sampat,maneklal,homi,gangaram,prabhashankar,patel,dwarkadas",devotional
1921,Bilet Pherat a.k.a. England Returned,Dhirendranath Ganguly,"dhirendranath,chakraborty,sushilabala,kunjalal,ganguly,manmatha,pal","social,comedy"
1921,Chandrahasa,Kanjibhai Rathod,"moti,savita,khalil,tara,dhanji",devotional
1921,Dabbur Kelenkari,Debi Ghosh,"datta,chani",unknown
1921,Dhruva Charitra a.k.a. The Story Of Dhruva,Jyotish Bannerjee,"james,manilal,cooper,signor,aga,mannelli,kusumkumari,p,mcgrath,master,madan,patience,dadabhai,kashmiri,pestonji,sarkari,mohan,hashr,signorina,m,f",mythology
1921,King Gopichand a.k.a. Gopichand,Vishnupant Divekar,"mama,koregaonkar,hira,bhatt",legend
1921,Govardhan Dhari,G. V. Sane,unknown,mythology
1921,Jagat Janani Jagadamba a.k.a. Ma Durga a.k.a. Mother Durga,Jyotish Bannerjee,unknown,mythology
1921,Krishna Kumar a.k.a. Pradyumna,Vishnupant Divekar,unknown,mythology
1921,Krishna Maya,Kanjibhai Rathod,jamna,mythology
1921,Mahasati Ansuya a.k.a. Sati Ansuya a.k.a. Birth Of Shri Dattatreya,Kanjibhai Rathod,"vaidya,khalil,sakina",devotional
1921,Meerabai a.k.a. Mira Bai,Sisir Kumar Bhaduri,"patience,k,cooper,s,bhaduri",devotional
1921,Mohini,Sisir Kumar Bhaduri,"patience,k,cooper,s,bhaduri",devotional
1921,Nal Damayanti,E. D. Liguoro,"adajania,d,chhapgar,patience,k,albertina,liguoro,cooper,e,sarkari",mythology
1921,Pundalik,Ganpat Shinde,unknown,devotional
1921,Pundalik,Kanjibhai Rathod,unknown,devotional
1921,Ratnakar,S. N. Ray,"dev,sushila,shosha,debi,mukhi,chunilal",mythology
1921,Rukmini Haran,Kanjibhai Rathod,"n,sakina,gangaram,moti,khalil,tara,r,vaidya",mythology
1921,Rukmini Satyabhama a.k.a. Rukmini Kalyanam a.k.a. Rukmani Sathyabhama a.k.a. The Wedding Of Rukmani ,R. Nataraja Mudaliar,unknown,mythology
1921,Sant Tukaram a.k.a. Tukaram,Ganpat Shinde,unknown,devotional
1921,Sati Madalsa,S. N. Patankar,unknown,mythology
1921,Sati Sulochana,G. V. Sane,unknown,mythology
1921,Salaam Aleikum,Unknown,unknown,social
1921,Shani Prabhav,G. V. Sane,unknown,mythology
1921,Shivratri,C. Legrand,"prabodh,kumari,kusum,bose",mythology
1921,Subhadra Haran,Kanjibhai Rathod,unknown,mythology
1921,Surekha Haran a.k.a. The Elopement Of Surekha a.k.a. Surekha Abhimanyu,Baburao Painter,"vishnupant,gajrabai,yadav,ganpat,baburao,pagnis,pawar,ravji,g,r,shantaram,bakre,mane,v,pendharkar,balasaheb,mhaskar,zunzharrao",mythology
1921,Themuras & Tehmuljee a.k.a. Aflatoon,Unknown,unknown,social
1921,Tridandi Sanyas,Vishnupant Divekar,"soni,anand,shinde,limaye",mythology
1921,Urvashi,Vishnupant Divekar,"koregaonkar,limaye,vithabai,hira",mythology
1921,Valli Thirumanam a.k.a. Valli's Wedding,Whittaker,unknown,mythology
1921,Valmiki,G. V. Sane,unknown,mythology
1921,Vikram Satva Pariksha,G. V. Sane,unknown,mythology
1921,Vishwamitra Menaka,Kanjibhai Rathod,"ali,raja,jamna,kesar,miyan,babu",mythology
1921,Vishnu Avatar a.k.a. The Incarnations Of Lord Vishnu,"Jyotish Bannerjee, C. Legrand","cooper,patience",mythology
1921,Yashoda Nandan a.k.a. Yashoda's Son a.k.a. Shri Radha Krishna,"Dhirendranath Ganguly, Nitish Lahiri","dhirendranath,chakraborty,pramodasundari,dasi,sushiladevi,lahiri,nitish,amodini,kunjalal,ganguly,manmatha,pal",mythology
1922,Ahiravan Mahiravan Vadha,G. V. Sane,"bhaurao,datar,shanta,pawar,nalgunde,sane,singh,bachu,ghanshyam",mythology
1922,Ajamil,Kanjibhai Rathod,"master,homi,gangaram,jamna,khalil",devotional
1922,Andhare Alo a.k.a. The Influence Of Love,"Naresh Mitra, Sisir Kumar Bhaduri","sisir,lila,choudhury,naresh,jogesh,kumar,mitra,kankabati,debi,rani,bhaduri,durga","social,drama"
1922,Ashoka a.k.a. Samrat Ashoka,Unknown,unknown,historical
1922,Bhakta Ambarish,Kanjibhai Rathod,"n,khalil,tara,r,vaidya",devotional
1922,Bhakta Shiromani a.k.a. Rajrishi Ambarish a.k.a. Bhakta Shiromani,Dadasaheb Phalke,unknown,devotional
1922,Bhartrahari a.k.a. King Bhartrahari,S. N. Patankar,"tara,koregaonkar,thatte",legend
1922,Bhishma,Jyotish Bannerjee,"adjania,mohan,master,keki",mythology
1922,Bhishma Bana Shayya,Unknown,"madanrai,vakil",mythology
1922,Bhishma Pratigna,R. S. Prakash,unknown,mythology
1922,Bidyasundar a.k.a. The Lover's Trance,Sundar Narayan Ray,durgarani,legend
1922,Bimata a.k.a. Bijoy Basant a.k.a. Stepmother,Dhirendranath Ganguly,"dhirendranath,miss,billy,devi,ganguly,joy,seeta",social
1922,Bisha Briksha a.k.a. Bishabriksha a.k.a. Poison Tree,Jyotish Bannerjee,"gopalchandra,lila,durgadas,bhattacharya,bannerjee,miss,basantakumari,manoranjan,debi,kartik,dey,light","social,drama"
1922,Bodana a.k.a. Bhakta Bodhana a.k.a. Shri Ranchhodrai,S. N. Patankar,"sandow,raja","devotional,legend"
1922,Damaji a.k.a. Bhakta Damaji a.k.a. Bhagwata Bhakta Damaji,Baburao Painter,"n,ganpat,d,baburao,pawar,haskar,ravji,sushilabai,bakre,gulabbai,sarpotdar,pendharkar,m,zunzharrao",devotional
1922,Devi Todi,Kanjibhai Rathod,jamna,devotional
1922,Doom Of The Yadavas a.k.a. Yadav Vinas,Unknown,unknown,mythology
1922,Draupadi Swayamwar,Vishnupant Divekar,kamala,mythology
1922,Draupadi Veni Bandhan a.k.a. The Fall Of The Kauravas a.k.a. Veni Bandhan,Vishnupant Divekar,"n,soni,damle,s,patankar",mythology
1922,Gangavataran a.k.a. Bhagirathi Ganga,Unknown,"dadibhai,cooper,sarkari,patience",mythology
1922,Hara Gouri a.k.a. Lord Shiva And Parvati,Dhirendranath Ganguly,unknown,religious
1922,Hari Talika,G. V. Sane,"bhaurao,datar",mythology
1922,Indrajit a.k.a. Indrajit O Lady Teacher,Dhirendranath Ganguly,"ganguly,dhirendranath,devi,seeta",social
